"","empl_total","popul_total","urban_total","rural_total","wa_total","ret_total","young_total","region_ru","district_ru","region_code"
"1",19027,62338,38566,23772,35735,15944,10659,"Белгородская область","Алексеевский муниципальный район и город Алексеевка",1
"2",19276,116297,35900,80397,64714,31827,19756,"Белгородская область","Белгородский муниципальный район",1
"3",6558,25818,13743,12075,14103,7560,4155,"Белгородская область","Борисовский муниципальный район",1
"4",16222,66655,41039,25616,36651,19342,10662,"Белгородская область","Город Валуйки и Валуйский муниципальный район",1
"5",4030,19604,6412,13192,10560,5731,3313,"Белгородская область","Вейделевский муниципальный район",1
"6",5450,31130,15189,15941,16747,9319,5064,"Белгородская область","Волоконовский муниципальный район",1
"7",5532,29740,6506,23234,16372,8351,5017,"Белгородская область","Грайворонский муниципальный район",1
"8",4761,22299,7506,14793,12174,6397,3728,"Белгородская область","Ивнянский муниципальный район",1
"9",9547,39213,5890,33323,20955,12107,6151,"Белгородская область","Корочанский муниципальный район",1
"10",2395,12237,NA,12237,6418,3914,1905,"Белгородская область","Красненский муниципальный район",1
"11",7350,37527,7248,30279,20699,11137,5691,"Белгородская область","Красногвардейский муниципальный район",1
"12",4334,14740,8099,6641,8045,3846,2849,"Белгородская область","Краснояружский муниципальный район",1
"13",13647,42001,18932,23069,22707,12514,6780,"Белгородская область","Новооскольский муниципальный район",1
"14",6127,27314,9052,18262,14787,8123,4404,"Белгородская область","Прохоровский муниципальный район",1
"15",8869,34930,19558,15372,19106,9526,6298,"Белгородская область","Ракитянский муниципальный район",1
"16",5142,23828,10795,13033,13274,6235,4319,"Белгородская область","Ровеньский муниципальный район",1
"17",5997,31488,14931,16557,17533,8478,5477,"Белгородская область","Чернянский муниципальный район",1
"18",17482,90689,48905,41784,49276,27037,14376,"Белгородская область","Шебекинский муниципальный район и город Шебекино",1
"19",14175,57331,35070,22261,31413,16079,9839,"Белгородская область","Яковлевский муниципальный район",1
"20",3566,18708,10519,8189,10539,4887,3282,"Калужская область","Бабынинский муниципальный район",2
"21",561,6055,0,6055,3299,1719,1037,"Калужская область","Барятинский муниципальный район",2
"22",15249,60879,46899,13980,36053,15046,9780,"Калужская область","Боровский муниципальный район",2
"23",11619,53559,36661,16898,30269,14812,8478,"Калужская область","Дзержинский муниципальный район",2
"24",1773,14265,5638,8627,7638,4392,2235,"Калужская область","Думиничский муниципальный район",2
"25",1091,10440,5506,4934,5621,2958,1861,"Калужская область","Жиздринский муниципальный район",2
"26",8892,50563,32610,17953,30030,12670,7863,"Калужская область","Жуковский муниципальный район",2
"27",7622,40963,30894,10069,23040,10887,7036,"Калужская область","Кировский муниципальный район",2
"28",567,6690,0,6690,3534,2040,1116,"Калужская область","Износковский муниципальный район",2
"29",6444,36846,27053,9793,20409,10127,6310,"Калужская область","Козельский муниципальный район",2
"30",832,7942,0,7942,4249,2340,1353,"Калужская область","Куйбышевский муниципальный район",2
"31",8834,43199,38993,4206,24037,11493,7669,"Калужская область","Людиновский  муниципальный район",2
"32",9709,50220,28058,22162,27130,13537,9553,"Калужская область","Малоярославецкий муниципальный район",2
"33",2694,12631,7849,4782,7225,3552,1854,"Калужская область","Медынский  муниципальный район",2
"34",1029,13096,4036,9060,7621,3326,2149,"Калужская область","Мещовский муниципальный район",2
"35",934,8391,4084,4307,4400,2642,1349,"Калужская область","Мосальский муниципальный район",2
"36",1610,13687,0,13687,7294,4068,2325,"Калужская область","Перемышльский муниципальный район",2
"37",1005,7328,4342,2986,3903,2384,1041,"Калужская область","Спас-Деменский муниципальный район",2
"38",4357,23563,16862,6701,13040,6867,3656,"Калужская область","Сухиничский  муниципальный район",2
"39",2361,15062,9267,5795,7992,4702,2368,"Калужская область","Тарусский  муниципальный район",2
"40",696,7101,0,7101,3733,2097,1271,"Калужская область","Ульяновский муниципальный район",2
"41",2213,17275,0,17275,9753,4469,3053,"Калужская область","Ферзиковский муниципальный район",2
"42",1301,10442,0,10442,5676,2865,1901,"Калужская область","Хвастовичский муниципальный район",2
"43",1783,11107,6153,4954,5865,3478,1764,"Калужская область","Юхновский  муниципальный район",2
"44",116345,358400,341986,16414,206183,99099,53118,"Калужская область","город Калуга",2
"45",28909,111360,111360,0,62703,29724,18933,"Калужская область","город Обнинск",2
