"","var","sum"
"1","p",30
"2","p",88
"3","p",85
"4","p",84
"5","p",73
"6","p",30
"7","p",18
"8","p",75
"9","p",90
"10","p",33
"11","p",12
"12","p",92
"13","p",53
"14","p",65
"15","p",9
"16","w",73
"17","w",6
"18","w",96
"19","w",45
"20","w",37
"21","w",41
"22","w",96
"23","w",69
"24","w",58
"25","w",NA
"26","w",64
"27","w",78
"28","w",63
"29","w",86
"30","w",54
"31","o",46
"32","o",18
"33","o",32
"34","o",2
"35","o",27
"36","o",25
"37","o",37
"38","o",48
"39","o",43
"40","o",29
"41","o",32
"42","o",33
"43","o",21
"44","o",43
"45","o",41
"46","y",18
"47","y",51
"48","y",51
"49","y",38
"50","y",36
"51","y",25
"52","y",36
"53","y",72
"54","y",79
"55","y",15
"56","y",33
"57","y",79
"58","y",69
"59","y",53
"60","y",30
"61","b",84
"62","b",76
"63","b",59
"64","b",95
"65","b",12
"66","b",70
"67","b",35
"68","b",56
"69","b",74
"70","b",12
"71","b",74
"72","b",44
"73","b",48
"74","b",72
"75","b",NA
